Act Name,Content,Act Number,Date & Year,Sections,Key Clauses,AI Summary
"Banking Regulation Act, 1949"," Banking Regulation Act, 1949
[Act no. 10 of Year 1949, dated 10th. March,1949]
An Act to consolidate and amend the law relating to banking 1[***] 
WHEREAS it is expedient to consolidate and amend the law relating to banking 1[***];
It is hereby enacted as follows:-",Not Available,Not Available,Not Available,General,"The Banking Regulation Act, 1949 is a legislation in India that regulates all banking companies in India. Passed as the Banking Companies Act 1949, it came into force on 16 March 1949 and changed to Banking Regulation Act 1949 from 1 March 1966. It is applicable in Jammu and Kashmir from 1956.  Initially, the law was applicable only to banking companies. But, in 1965 it was amended to make it applicable to cooperative banks and to introduce other changes. In 2020 it was amended to bring the cooperative banks under the supervision of the Reserve Bank of India (RBI)."
"Bharatiya Nagarik Suraksha Sanhita, 2023","The Bharatiya Nagarik Suraksha Sanhita, 2023
[No. 46 of 2023]
[25th December, 2023.]",Not Available,Not Available,Not Available,General,"The Bharatiya Nagarik Suraksha Sanhita (BNSS) (IAST: Bhāratīya Nāgarik Surakśa Saṃhitā; lit. 'Indian Citizen Safety Code'), is the main legislation on procedure for administration of substantive criminal law in India."
"Bharatiya Nyaya Sanhita, 2023","The Bharatiya Nyaya Sanhita, 2023
[No. 45 of 2023]
[25th December, 2023.]",Not Available,Not Available,Not Available,General,The Bharatiya Nyaya Sanhita (BNS) (IAST:  Bhāratīya Nyāya Saṃhitā; lit. 'Indian Justice Code') is the official criminal code in India. It came into effect on 1 July 2024 after being passed by the parliament in December 2023 to replace the Indian Penal Code (IPC).
"Bharatiya Sakshya Adhiniyam, 2023","The Bharatiya Sakshya Adhiniyam, 2023
[No. 47 of 2023]
[25th December, 2023.]",Not Available,Not Available,Not Available,General,"The Bharatiya Sakshya Adhiniyam, 2023 (IAST: Bhāratīya Sākśya Adhiniyam; lit. 'Indian Evidence Act') is an Act of the Parliament of India."
"Bihar Reorganisation Act, 2000","The Bihar Reorganisation Act, 2000
[Act No 30 of 2000]
[25th August, 2000]",Not Available,"25th August, 2000",Not Available,General,"Bihar Reorganisation Act, 2000 was a law passed by the parliament of India in 2000. Loksabha and Rajya sabha passed the bill on 2 and 11 August respectively and on 15 November 2000, which enabled creation of Jharkhand State out of Bihar. The law was introduced by the NDA government headed by Atal Bihari Vajpayee to fulfil an election promise."
"Biological Diversity Act, 2002","The Biological Diversity Act, 2002
ACT NO. 18 OF 2003 [5th February, 2003]
An Act to provide for conservation of biological diversity, sustainable use of its components and fair and equitable sharing of the benefits arising out of the use of biological resources, knowledge and for matters connected therewith or incidental there .
WHEREAS India is rich in biological diversity and associated traditional and contemporary knowledge system relating thereto;
AND WHEREAS India is a party to the United Nations Convention on Biological Diversity signed at Rio de Janeiro on the 5th day of June, 1992;
AND WHEREAS the said Convention came into force on the 29th December, 1993;
AND WHEREAS the said Convention reaffirms the sovereign rights of the States over their biological resources;
AND WHEREAS the said Convention has the main objective of conservation of biological diversity, sustainable use of its components and fair and equitable sharing of the benefits arising out of utilisation of genetic resources;
AND WHEREAS it is considered necessary to provide for conservation, sustainable utilisation and equitable sharing of the benefits arising out of utilisation of genetic resources and also to give effect to the said Convention.
BE it enacted by Parliament in the Fifty-third Year of the Republic of India as follows:-",Not Available,"5th February, 2003",Not Available,General,"The Biological Diversity Act, 2002 is an Act  by the Parliament of India for the preservation of biological diversity in India, and provides the mechanism for equitable sharing of benefits arising out of the use of traditional biological resources and knowledge. The Act was enacted to meet the obligations under the Convention on Biological Diversity, because India is a signatory to the treaty."
"Black Money (Undisclosed Foreign Income and Assets) and Imposition of Tax Act, 2015","The Black Money (Undisclosed Foreign Income and Assets) and Imposition of Tax Act, 2015
[Act No. 22 of 2015]
[26th May, 2015.]",Act No. 22 of 2015,Not Available,Not Available,General,"Black Money (Undisclosed Foreign Income and Assets) and Imposition of Tax Act, 2015 is an  Act of the Parliament of India. It aims to curb black money, or undisclosed foreign assets and income and imposes tax and penalty on such income. The Act has been passed by both the Houses of the Parliament. The Act has received the assent of the President of India on 26 May 2015. It came into effect from 1 July 2015."
"Bonded Labor System (Abolition) Act, 1976"," Bonded Labor System (Abolition) Act, 1976
(Act no. 19 of 1976)",Not Available,Not Available,Not Available,General,"Under Article 23 of The Constitution of India, Prohibition is imposed on the practice of Traffic in Human Being and of Forced Labor. It also provides that contravention of said prohibition is an offense under law. The practice of bonded labor was prevalent in 20th century Indian society. Under this system when an elder of an Indian family took a loan (typically and agricultural loan) and fails to repay the same, his or her descendants or dependents have to work for the creditor with interest deducted from their wages until the loan is repaid. Interest structures were typically usurious and interest would often exceeded effective wages earned. This system is commonly known as Bandhua Majdoori (बंधुआ मज़दूरी). Further, because of illiteracy and social backwardness of debtors, several generations are made to work in degradable conditions and extreme poverty under this system. Even after India got independence and Indian Constitution came to power that enshrines the principal of Equality a"
"Central Industrial Security Force Act, 1968","The Central Industrial Security Force  Act, 1968
[Act No. 50 of 1968]
[2nd December, 1968.]",Act No. 50 of 1968,Not Available,Not Available,General,"The Central Industrial Security Force Act, 1968, is an act of the Indian Parliament through which the Central Industrial Security Force (CISF) was raised on 10 March 1969. The CISF is a Central Armed Police Force which specialises in providing security and protection to industrial undertakings and other critical installations including nuclear plants, space centres and Delhi Metro. It is also the airport police of India.
The Government of India brought the bill in parliament in 1968 after the recommendation of a special commission, Mukherjee Commission, that was appointed to investigate a major fire at Heavy Engineering Corporation production plant in Ranchi and thereafter recommended constituting a federal force exclusively for the security of industries. After the approval of the President, the bill became an act on 2 December 1968 and came into force on 10 March 1969 when the CISF was raised with a strength of 2,800 personnel. It was first inducted at Fertilizer Corporation of India"
"Chartered Accountants Act, 1949","Chartered Accountants Act, 1949
[Act No. 38 of Year 1949]
An Act to make provision for the regulation of the profession of chartered accountants
WHEREAS it is expedient to make provision for the regulation of the profession of chartered accountants and for that purpose to establish an Institute of Chartered Accountants;
It is hereby enacted as follows:-",Not Available,Not Available,Not Available,General,"The Chartered Accountants Act, 1949 is a statute enacted by the Constituent Assembly of India, which was acting as the provisional Parliament of India in 1949, to regulate the profession of Chartered Accountants in India. Under this act, The Institute of Chartered Accountants of India was established as a statutory body for the promotion, development and regulation of ""the profession of Chartered Accountants in India"". The law provides for qualifications, elections for central as well as regional councils, penalties for misconduct by Chartered Accountants."
"Chief Election Commissioner and Other Election Commissioners (Appointment, Conditions of Service and Term of Office) Act, 2023","The Chief Election Commissioner and Other Election Commissioners (Appointment, Conditions of Service and Term of Office) Act, 2023
[Act No. 49 of 2023]
[28th December, 2023.]",Act No. 49 of 2023,Not Available,Not Available,General,"The Chief Election Commissioner and Other Election Commissioners (Appointment, Conditions of Service and Term of Office) Act, 2023  is an Act of the Parliament of India to replace the existing Election Commission (Conditions of Service of Election Commissioners and Transaction of Business) Act, 1991.
The legislation was listed to be taken up for discussion during the Parliament Special Session, 2023."
"Child and Adolescent Labour (Prohibition and Regulation) Act, 1986","The Child and Adolescent (Prohibition and Regulation) Act, 1986
[Act No. 61 of 1986]
[23rd December, 1986.]



Contents


Title
The Child and Adolescent (Prohibition and Regulation) Act, 1986


Sections
Particulars


Part I
Preliminary


1.
Short title, extent and commencement


2.
Definitions


Part II
Prohibition of Employment of Children In Certain Occupations and Processes



3.
Prohibition of employment of children in any occupation and process


3A.
Prohibition of employment of adolescents in certain hazardous occupations and processes


4.
Power to amend the Schedule


5.
Child Labour Technical Advisory Committee


Part III
Regulation of Conditions of Work of Children


6.
Application of Part


7.
Hours and period of work


8.
Weekly holidays


9.
Notice to Inspector


10.
Disputes as to age


11.
Maintenance of register


12.
Display of notice containing abstract of sections 3 and 14


13.
Health and safety


Part IV
Miscellaneous


14.
Penalties


14A.
Offences to be Congnizable


14B.
Child and Adolescent Labour Rehabilitation Fund


14C.
Rehabilitation of rescued child or adolescent


14D.
Compounding of offences


15.
Modified application of certain laws in relation to penalties


16.
Procedure relating to offences


17.
Appointment of Inspectors


17A.
District Magistrate to implement the provisions


17B.
Inspection and monitoring


18.
Power to make rules


19.
Rules and notifications to be laid before Parliament or State legislature


20.
Certain other provisions of law not barred


21.
Power to remove difficulties


22.
Repeal and savings


23.
Repealed


The Schedule
[See section 3A]






 Back



[Act No. 61 of 1986]
[23rd December, 1986.]",Act No. 61 of 1986,Not Available,section 3,General,"The Child and Adolescent Labour (Prohibition and Regulation) Act, 1986  is a Law enacted on 23 December 1986 by the Parliament of India and Ministry of Labour and Employment. The Act prohibits private, government or semi-government companies, organizations, civil departments or child's family from employing a Child or Adolescent in any occupation or process, intended to aid his family or guardian. Any occupier or employer caught doing such thing in which a child is being used as a Laborer, is regarded a serious offensive crime."
"Child Marriage Restraint Act, 1929"," Child Marriage Restraint Act, 1929
[Act No. 19 of 1929 dated 1st. October, 1929]1
An Act to restrain the solemnization of child marriages.
WHEREAS it is expedient to restrain the solemnization of child marriages; it is hereby enacted as follows:-",Act No. 19 of 1929,Not Available,Not Available,General,"The Child Marriage Restraint Act, 1929, passed on 28 September 1929, in the Imperial Legislative Council of India, fixed the minimum age of marriage for girls at 14 years and boys at 18 years. In 1949, after India's independence, it was amended to fix the age of 15 for girls, and in 1978 to 18 for girls and 21 for boys. It is popularly known as the Sarda Act, after its sponsor Harbilas Sarda. It came into effect six months later on 1 April 1930 and applied to all of British India. It was a result of social reform movement in India. Despite strong opposition from the British authorities, the legislation was passed by the British Indian Government which had a majority of Indians. However, it lacked implementation from the British Indian government, largely due to the fear of British authorities losing support from their loyal Hindu and Muslim communalist groups."
"Citizenship Act, 1955","Citizenship Act, 1955
[Act No. 57 of Year 1955 dated 30th. December, 1955]
An Act to provide for the acquisition and determination of Indian citizenship
Comment :  From the resume of the aforementioned provisions of the Constitution and the Citizenship Act, it becomes clear that whenever any authority is called upon to decide even for the limited purpose of another law, whether a person is or is not a citizen of India, the authority must carefully examine the question and the provisions of the Citizenship Act extracted hereinbefore. Lal Babu Hussain and others, Petitioners v. Electoral Registration Officer, AIR 1995 SUPREME COURT 1189
Be it enacted by Parliament in the Sixth Year of the Republic of India as follows:-",Not Available,Not Available,Not Available,General,"Indian nationality law details the conditions by which a person holds Indian nationality. The two primary pieces of legislation governing these requirements are the Constitution of the Republic of India and the Citizenship Act, 1955.
All persons born in India between 26 January 1950 and 1 July 1987 automatically received citizenship by birth regardless of the nationalities of their parents. Between 1 July 1987 and 3 December 2004, citizenship by birth was granted if at least one parent was a citizen. Individuals born in the country since then receive Indian citizenship at birth only if both parents are Indian citizens, or if one parent is a citizen and the other is not considered an illegal migrant.
Foreigners may become Indian citizens by naturalisation after residing in the country for at least 12 years and renouncing any previous nationalities. Members of certain religious minority communities from neighbouring countries qualify for a reduced residence requirement of six years. Indi"
"Civil Liability for Nuclear Damage Act, 2010","Civil Liability for Nuclear Damage Act, 2010",Not Available,Not Available,Not Available,General,"The Civil Liability for Nuclear Damage Act, 2010 or Nuclear Liability Act is a highly debated and controversial Act which was passed by both houses of Indian parliament. The Act aims to provide a civil liability for nuclear damage and prompt compensation to the victims of a nuclear incident through a no-fault liability to the operator, appointment of Claims Commissioner, establishment of Nuclear Damage Claims Commission and for matters connected therewith or incidental thereto.
This was one of the last steps needed to activate the 2008 Indo-U.S. civilian nuclear agreement as the United States nuclear reactor manufacturing companies require the liability bill to get insurance in their home state. 
The government had encountered fierce opposition while trying to push this bill through parliament on several occasions. This was because it contained several controversial clauses that the opposition parties claimed to be 'unconstitutional'. The opposition believed the bill was pushed through"
"Clinical Establishments (Registration and Regulation) Act, 2010"," The Clinical Establishments (Registration and Regulation) Act, 2010
[18th August, 2010]
The Clinical Establishments (Registration and Regulation) Act, 2010 No. 23 of 2010 [18th August, 2010.]
An Act to provide for the registration and regulation of clinical establishments in the country and for matters connected therewith or incidental thereto.
WHEREAS, it is considered expedient to provide for the registration and regulation of clinical establishments with a view to prescribe minimum standards of facilities and services which may be provided by them so that mandate of article 47 of the Constitution for improvement in public health may be achieved;
AND WHEREAS, Parliament has no power to make laws for the States with respect to any of the matters aforesaid except as provided in articles 249 and 250 of the Constitution;
AND WHEREAS, in pursuance of clause (1) of article 252 of the Constitution, resolutions have been passed by all the Houses of the Legislatures of the States of Arunachal Pradesh, Himachal Pradesh, Mizoram and Sikkim to the effect that the matters aforesaid should be regulated in those States by Parliament by law; BE it enacted by Parliament in the Sixty-first Year of the Republic of India as follows:-",Not Available,"18th August, 2010",Not Available,General,"The Clinical Establishments (Registration and Regulation) Act, 2010 is an Act of the Parliament of India. It seeks to regulate all clinical establishments in India. On April 15, 2010, the Clinical Establishments (Registration and Regulation) Bill, 2010 was introduced in the Lok Sabha for the first time. The Act requires all clinical establishments to register themselves and provides a set of standard treatment guidelines for common diseases and conditions.
The state governments must adopt the law by passing a resolution in the legislative assemblies. As of March 2018, the following states have adopted it: Arunachal Pradesh, Himachal Pradesh, Mizoram, Sikkim, Bihar, Rajasthan, Uttar Pradesh, Uttarakhand, Jharkhand, Assam, Haryana. However, not all of these states have made any clear provisions to implement the Act."
"Code on Wages, 2019","The Code on Wages, 2019
[Act No. 29 of 2019]
[8th August, 2019.]",Act No. 29 of 2019,Not Available,Not Available,General,"The Code on Wages, 2019, also known as the Wage Code, is an Act of the Parliament of India that consolidates the provisions of four labour laws concerning wage and bonus payments and makes universal the provisions for minimum wages and timely payment of wages for all workers in India. The Code repeals and replaces the Payment of Wages Act, 1936, the Minimum Wages Act, 1948, the Payment of Bonus Act, 1965, and the Equal Remuneration Act, 1976."
"Commission of Sati (Prevention) Act, 1987"," Commission of Sati (Prevention) Act, 1987
[Act No. 3 of 1988 dated 3rd. January, 1988]
An Act to provide for the more effective prevention of the commission of sati and its glorification and for matters connected therewith or incidental thereto.
WHEREAS sati or the burning or burying alive of widows or women is revolting to the feelings of human nature and is nowhere enjoined by any of the religions of India as an imperative duty;
AND WHEREAS it is necessary to take more effective measures to prevent the commission of sati and its glorification;
BE it enacted by Parliament in the Thirty-eighth Year of the  Republic of India as follows:-",Act No. 3 of 1988,Not Available,Not Available,General,"Sati (Prevention) Act, 1987 is a law enacted by Government of Rajasthan in 1987. It became an Act of the Parliament of India with the enactment of The Commission of Sati (Prevention) Act, 1987 in 1988. The Act seeks to prevent sati, the voluntary or forced burning or burying alive of a widow, and to prohibit glorification of this action through the observance of any ceremony, participation in any procession, creation of a financial trust, construction of a temple, or any actions to commemorate or honor the memory of a widow who committed sati. The act was created after the sati of Roop Kanwar in 1987 and applied to all of India except for Jammu and Kashmir.  
The act incorporated many colonial suppositions about the practice of sati, with the first paragraph of the preamble of the Act copying the opening lines of Lord William Bentinck’s Bengal Sati Regulation, or Regulation XVII of December 4, 1829 verbatim."
"Commissions for Protection of Child Rights Act, 2005"," The Commissions for Protection of Child Rights Act, 2005
No. 4 of 2006
[20th January, 2006.]
An Act to provide for the constitution of a National Commission and State Commissions for Protection of Child Rights and Children's Courts for providing speedy trial of offences against children or of violation of child rights and for matters connected therewith or incidental thereto.
WHEREAS India participated in the United Nations (UN) General Assembly Summit in 1990, which adopted a Declaration on Survival, Protection and Development of Children; AND WHEREAS India has also acceded to the Convention on the Rights of the Child (CRC) on the 11th December, 1992;AND WHEREAS CRC is an international treaty that makes it incumbent upon the signatory States to take all necessary steps to protect children's rights enumerated in the Convention;
AND WHEREAS in order to ensure protection of rights of children one of the recent initiatives that the Government have taken for Children is the adoption of National Charter for Children, 2003;AND WHEREAS the UN General Assembly Special Session on Children held in May, 2002 adopted an Outcome Document titled
""A World Fit for Children"" containing the goals, objectives, strategies and activities to be undertaken by the member countries for the current decade; AND WHEREAS it is expedient to enact a law relating to children to give effect to the policies adopted by the Government in this regard, standards prescribed in the CRC, and all other relevant international instruments; BE it enacted by Parliament in the Fifty-sixth Year of the Republic of India as follows:-",Not Available,Not Available,Not Available,General,"The Commissions for Protection of Child Rights Act, 2005 is a law enacted by the Parliament of India, which provides for constitution of National commission and state commissions for the rehabilitation, prosperity and wellness of children. The act was primarily enforced in Indian administered states and its union territories to protect child rights. The act further provides constitution for establishment of children's court where the offenses against children rights or exploitation of child rights be trialed speedily."
"Companies Act, 1956"," Companies Act, 1956
Preamble
Act No.1 of 1956
[18th January, 1956]
An Act to consolidate and amend the law relating to companies and certain other associations.
Comment: This is the basic law which governs the creation, continuation, the winding up of companies and also the relationships between the shareholders, the company, the public and the government. Coupled with other statutes dealing with corporate entities, this is an extremely important piece of legislation.
Be it enacted by Parliament in the Sixth Year of the Republic of India as follows :",Act No.1 of 1956,"18th January, 1956",Not Available,General,"The Companies Act 1956 was an Act of the Parliament of India, enacted in 1956, which enabled companies to be formed by registration, and set out the responsibilities of companies, their directors and secretaries. It was repealed and replaced by the Companies Act 2013."
"Companies Act, 2013","Companies Act, 2013
(No. 18 of 2013)
[29th August, 2013]
An Act to consolidate and amend the law relating to companies.
BE it enacted by Parliament in the Sixty-fourth Year of the Republic of India as follows:-",Not Available,"29th August, 2013",Not Available,General,"The Companies Act 2013 (No. 18 of 2013) is an Act of the Parliament of India which forms the primary source of Indian company law. It received presidential assent on 29 August 2013, and largely superseded the Companies Act 1956. 
The Act was brought into force in stages. Section 1 of this act came into force on 30 August 2013. 98 different sections came into force on 12 September 2013 with a few changes. A total of another 183 sections came into force from 1 April 2014. The Ministry of Corporate Affairs thereafter published a notification exempting private companies from the ambit of various sections under the act.
The Act increased the responsibilities of corporate executives in the information technology sector, increasing India's safeguards against organised cybercrime by allowing CEOs and CTOs to be prosecuted in cases of IT failure.
The Act established the National Company Law Tribunal (NCLT), which was constituted on 1 June 2016, based on the recommendation of the Justice Eradi c"
"Compensatory Afforestation Fund Act, 2016","The Compensatory Afforestation Fund Act, 2016
[Act No. 38 of 2016]
[3rd August, 2016.]



Contents



Sections
Particulars


Arrangement of Sections
The Compensatory Afforestation Fund Act


Chapter I
Preliminary


1.
Short Title, Extent and Commencement


2.
Definitions


Chapter II
Establishment, Management and Utilisation of National Compensatory Afforestation Fund and State Compensatory Afforestation Funds


3.
Establishment of National Fund


4.
Establishment of State Fund


5.
Disbursement and Utilisation of National Fund


6.
Disbursement and Utilisation of State Fund


7.
Accounting Procedure


Chapter III
Constitution of National Authority and State Authorities


8.
Constitution of National Authority


9.
Executive Committee and Monitoring Group of National Authority


10.
Constitution of State Authority


11.
Steering Committee and Executive Committee of State Authority


12.
Term of Office And Conditions of Service of Members


13.
Disqualifications


Chapter IV
Powers and Functions of National Authority and State Authorities


14.
Powers and Functions of National Authority


15.
Powers and Functions of Executive Committee of National Authority


16.
Functions Of Monitoring Group


17.
Powers And Functions Of State Authority


18.
Powers And Functions Of Steering Committee Of State Authority


19.
Functions And Powers Of Executive Committee Of State Authority


Chapter V
Finance, Accounts, Audit and Annual Report


20.
Budget Of National Authority


21.
Investment Of Funds By National Authority


22.
Accounts And Audit Of National Authority


23.
Annual Report Of National Authority


24.
Annual Report And Audit Report Of National Authority To Be Laid Before Parliament


25.
Budget Of State Authority


26.
Investment Of Funds By State Authority


27.
Accounts And Audit Of State Authority


28.
Annual Report Of State Authority


29.
Annual Report And Audit Report Of State Authority To Be Laid Before State Legislature


Chapter VI
Miscellaneous


30.
Power To Make Rules


31.
Transfer Of Assets, Liabilities, Etc


32.
Validation


33.
Power Of Central Government To Issue Directions






 Back



[Act No. 38 of 2016]
[3rd August, 2016.]",Act No. 38 of 2016,Not Available,Not Available,General,"CAMPA Act or Compensatory Afforestation Fund Act is an Indian legislation that  seeks to provide an appropriate institutional mechanism, both at the Centre and in each State and Union Territory, to ensure expeditious utilization in efficient and transparent manner of amounts released in lieu of forest land diverted for non-forest purpose which  would mitigate impact of diversion of such forest land."
"Competition Act, 2002","The Competition Act, 2002",Not Available,Not Available,Not Available,General,"The Competition Act, 2002 was enacted by the Parliament of India and governs Indian competition law. It replaced the Monopolies and Restrictive Trade Practices Act, 1969. Under this legislation, the Competition Commission of India was established to prevent the activities that adversely affected competition in India. This act extends to whole of India.
It is a tool to implement and enforce competition policy and to prevent and punish anti-competitive business practices by firms and unnecessary Government interference in the market. Competition law is equally applicable on written as well as oral agreements and arrangements between or among enterprises and persons.
The Competition Act, 2002 was amended by the Competition (Amendment) Act, 2007 and again by the Competition (Amendment) Act, 2009.
The Act establishes a Commission which is duty bound to protect the interests of free and fair competition (including the process of competition), and as a consequence, protect the interests of co"
